date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:10:49	109/109	---M-Z	200	added ('OK')	text/plain	date:Fri,%2021%20Oct%202022%2004:10:49%20GMT	https://sunup.edu.bd/robots.txt		(from )
10:10:50	177700/177700	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Oct%202022%2004:10:49%20GMT	https://sunup.edu.bd/	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/index.html	(from )
10:10:51	42/42	---M-Z	405	error ('Method%20Not%20Allowed')	text/plain	date:Fri,%2021%20Oct%202022%2004:10:51%20GMT	https://sunup.edu.bd/xmlrpc.php	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/xmlrpc.php	(from https://sunup.edu.bd/)
10:10:51	88932/88932	---M-Z	200	added ('OK')	text/css	date:Tue,%2012%20Jul%202022%2018:48:47%20GMT	https://sunup.edu.bd/wp-includes/css/dist/block-library/style.min.css?ver=6.0.3	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/wp-includes/css/dist/block-library/style.min1eb7.css	(from https://sunup.edu.bd/)
10:10:52	17145/17145	---MCZ	200	added ('OK')	application/rss+xml	etag:%22aec62e949ea38a5e1e15808db9d54f27%22	https://sunup.edu.bd/feed/	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/feed/index.html	(from https://sunup.edu.bd/)
10:10:52	2731/2731	---M-Z	200	added ('OK')	text/css	date:Wed,%2019%20Oct%202022%2018:44:48%20GMT	https://sunup.edu.bd/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.6.4	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/wp-content/plugins/contact-form-7/includes/css/styles77e1.css	(from https://sunup.edu.bd/)
10:10:52	3877/3877	---M-Z	200	added ('OK')	text/css	date:Tue,%2007%20Sep%202021%2006:00:01%20GMT	https://sunup.edu.bd/wp-content/plugins/tc-portfolio/assets/css/tc-portfolio-style.css?ver=6.0.3	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/wp-content/plugins/tc-portfolio/assets/css/tc-portfolio-style1eb7.css	(from https://sunup.edu.bd/)
10:10:52	13436/13436	---M-Z	200	added ('OK')	text/css	date:Tue,%2007%20Sep%202021%2006:00:01%20GMT	https://sunup.edu.bd/wp-content/plugins/tc-portfolio/assets/css/tcode-grid.css?ver=6.0.3	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/wp-content/plugins/tc-portfolio/assets/css/tcode-grid1eb7.css	(from https://sunup.edu.bd/)
10:10:53	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%22269550530cc127b6aa5a35925a7de6ce%22	http://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css?ver=6.0.3	C:/My%20Web%20Sites/MHTZ%20Education/maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min1eb7.css	(from https://sunup.edu.bd/)
10:10:53	7508/7508	---M-Z	200	added ('OK')	text/css	date:Tue,%2007%20Sep%202021%2006:00:01%20GMT	https://sunup.edu.bd/wp-content/plugins/tc-portfolio/vendors/magnific-popup/magnific-popup.css?ver=6.0.3	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/wp-content/plugins/tc-portfolio/vendors/magnific-popup/magnific-popup1eb7.css	(from https://sunup.edu.bd/)
10:10:54	67702/67702	---M-Z	200	added ('OK')	text/css	date:Wed,%2022%20Sep%202021%2010:42:06%20GMT	https://sunup.edu.bd/wp-content/uploads/maxmegamenu/style.css?ver=ccbad5	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/wp-content/uploads/maxmegamenu/style299e.css	(from https://sunup.edu.bd/)
10:10:54	814/814	---M-Z	200	added ('OK')	application/rss+xml	etag:%22aec62e949ea38a5e1e15808db9d54f27%22	https://sunup.edu.bd/comments/feed/	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/comments/feed/index.html	(from https://sunup.edu.bd/)
10:10:54	59016/59016	---M-Z	200	added ('OK')	text/css	date:Thu,%2015%20Apr%202021%2007:57:25%20GMT	https://sunup.edu.bd/wp-includes/css/dashicons.min.css?ver=6.0.3	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/wp-includes/css/dashicons.min1eb7.css	(from https://sunup.edu.bd/)
10:10:54	328/328	---M-Z	200	added ('OK')	text/css	date:Sun,%2006%20Dec%202020%2013:41:28%20GMT	https://sunup.edu.bd/wp-content/themes/flatsome/assets/css/fl-icons.css?ver=3.12	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/wp-content/themes/flatsome/assets/css/fl-iconsae34.css	(from https://sunup.edu.bd/)
10:10:55	17531/17531	---M-Z	200	added ('OK')	text/css	date:Tue,%2018%20Oct%202022%2019:14:16%20GMT	http://sunup.edu.bd/wp-content/uploads/pum/pum-site-styles.css?generated=1666120456&ver=1.16.10	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/wp-content/uploads/pum/pum-site-stylesbb60.css	(from https://sunup.edu.bd/)
10:10:56	172792/172792	---M-Z	200	added ('OK')	text/css	date:Sun,%2006%20Dec%202020%2013:41:28%20GMT	https://sunup.edu.bd/wp-content/themes/flatsome/assets/css/flatsome.css?ver=3.13.0	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/wp-content/themes/flatsome/assets/css/flatsome7ff8.css	(from https://sunup.edu.bd/)
10:10:56	567/567	---M-Z	200	added ('OK')	text/css	date:Sun,%2006%20Dec%202020%2013:41:28%20GMT	https://sunup.edu.bd/wp-content/themes/flatsome/style.css?ver=3.13.0	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/wp-content/themes/flatsome/style7ff8.css	(from https://sunup.edu.bd/)
10:10:57	11224/11224	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2009%20Dec%202020%2006:56:12%20GMT	https://sunup.edu.bd/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/wp-includes/js/jquery/jquery-migrate.mind617.js	(from https://sunup.edu.bd/)
10:10:58	89521/89521	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2020%20Jul%202021%2018:47:19%20GMT	https://sunup.edu.bd/wp-includes/js/jquery/jquery.min.js?ver=3.6.0	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/wp-includes/js/jquery/jquery.minaf6c.js	(from https://sunup.edu.bd/)
10:10:59	1486/1486	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2007%20Sep%202021%2006:00:01%20GMT	https://sunup.edu.bd/wp-content/plugins/tc-portfolio/assets/js/tc-custom.js?ver=6.0.3	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/wp-content/plugins/tc-portfolio/assets/js/tc-custom1eb7.js	(from https://sunup.edu.bd/)
10:11:01	786/786	---M-Z	200	added ('OK')	text/xml	date:Fri,%2021%20Oct%202022%2004:11:01%20GMT	https://sunup.edu.bd/xmlrpc.php?rsd	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/xmlrpc0db0.php	(from https://sunup.edu.bd/)
10:11:01	1045/1045	---M-Z	200	added ('OK')	application/xml	date:Wed,%2030%20Jan%202019%2015:57:25%20GMT	https://sunup.edu.bd/wp-includes/wlwmanifest.xml	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/wp-includes/wlwmanifest.xml	(from https://sunup.edu.bd/)
10:11:02	2379/2379	---M--	200	added ('OK')	application/json	date:Fri,%2021%20Oct%202022%2004:11:02%20GMT	https://sunup.edu.bd/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fsunup.edu.bd%2F	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/wp-json/oembed/1.0/embed8c54.json	(from https://sunup.edu.bd/)
10:11:03	252169/252169	---MC-	200	added ('OK')	application/json	date:Fri,%2021%20Oct%202022%2004:11:00%20GMT	https://sunup.edu.bd/wp-json/	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/wp-json/index.html	(from https://sunup.edu.bd/)
10:11:04	2451/2451	---M-Z	200	added ('OK')	text/xml	date:Fri,%2021%20Oct%202022%2004:11:04%20GMT	https://sunup.edu.bd/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fsunup.edu.bd%2F&format=xml	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/wp-json/oembed/1.0/embede6c5	(from https://sunup.edu.bd/)
10:11:04	114602/114602	---MC-	200	added ('OK')	application/json	date:Fri,%2021%20Oct%202022%2004:11:00%20GMT	https://sunup.edu.bd/wp-json/wp/v2/pages/8	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/wp-json/wp/v2/pages/8.json	(from https://sunup.edu.bd/)
10:11:05	91755/91755	---M--	200	added ('OK')	image/png	date:Sun,%2029%20Aug%202021%2007:05:27%20GMT	https://sunup.edu.bd/wp-content/uploads/2021/08/SunUp-School-BG.png	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/wp-content/uploads/2021/08/SunUp-School-BG.png	(from https://sunup.edu.bd/)
10:11:06	259134/259134	---M--	200	added ('OK')	image/x-icon	date:Sun,%2005%20Jan%202020%2006:42:39%20GMT	https://sunup.edu.bd/wp-content/uploads/2020/01/Sunup-Logo.ico	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/wp-content/uploads/2020/01/Sunup-Logo.ico	(from https://sunup.edu.bd/)
10:11:07	47282/47282	---M--	200	added ('OK')	image/png	date:Thu,%2026%20Aug%202021%2007:42:42%20GMT	https://sunup.edu.bd/wp-content/uploads/2021/08/Mail-Icon-of-SunUp.png	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/wp-content/uploads/2021/08/Mail-Icon-of-SunUp.png	(from https://sunup.edu.bd/)
10:11:07	47490/47490	---M--	200	added ('OK')	image/png	date:Thu,%2026%20Aug%202021%2007:42:46%20GMT	https://sunup.edu.bd/wp-content/uploads/2021/08/Phone-Icon-of-SunUp.png	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/wp-content/uploads/2021/08/Phone-Icon-of-SunUp.png	(from https://sunup.edu.bd/)
10:11:07	6526/6526	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20Oct%202022%2004:11:07%20GMT	https://sunup.edu.bd/sunup/certificate_verification/index.php	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/sunup/certificate_verification/index.html	(from https://sunup.edu.bd/)
10:11:08	10286/10286	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Oct%202022%2004:11:08%20GMT	https://sunup.edu.bd/sunup/site/userlogin	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/sunup/site/userlogin.html	(from https://sunup.edu.bd/)
10:11:08	5765/5765	---M-Z	200	added ('OK')	text/html	date:Fri,%2021%20Oct%202022%2004:11:08%20GMT	https://sunup.edu.bd/sunup/site/login	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/sunup/site/login.html	(from https://sunup.edu.bd/)
10:11:10	117025/117025	---M--	200	added ('OK')	image/jpeg	date:Sun,%2012%20Jan%202020%2009:27:47%20GMT	https://sunup.edu.bd/wp-content/uploads/2020/01/Sunup-International-School-College_2.jpg	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/wp-content/uploads/2020/01/Sunup-International-School-College_2.jpg	(from https://sunup.edu.bd/)
10:11:10	405931/405931	---M--	200	added ('OK')	image/png	date:Sun,%2005%20Jan%202020%2006:36:51%20GMT	https://sunup.edu.bd/wp-content/uploads/2020/01/Sunup-Logo.png	C:/My%20Web%20Sites/MHTZ%20Education/sunup.edu.bd/wp-content/uploads/2020/01/Sunup-Logo.png	(from https://sunup.edu.bd/)
